Name,Sub-Location,Address,Telephone,URL,Hours,Listedin,Modes of Payment,Year
 Mas Play School,Velacheri,"No 7/41 Vishnu Priya Ramagiri, 100 Feet Taramani Road, Velacheri, Chennai - 600042, Opposite To Naidu Hall",['+(91)-44-39615845'],www.masplayschool.com, Monday  - 08:00 am - 08:00 pm || Tuesday  - 08:00 am - 08:00 pm || Wednesday  - 08:00 am - 08:00 pm || Thursday  - 08:00 am - 08:00 pm || Friday  - 08:00 am - 08:00 pm || Saturday  - Closed || Sunday  - Closed,Kindergartens- Playgroups- Nursery- Schools,Cash- Cheques,2000
 Arise N Shine International Preschool,Nolambur,"No 12 Hig 45, 7th Main Road Nolambur TNHB Scheme, Nolambur, Chennai - 600037, Near Dominos Pizza",['+(91)-44-33075144'],, Monday  - 09:00 am - 05:00 pm || Tuesday  - 09:00 am - 05:00 pm || Wednesday  - 09:00 am - 05:00 pm || Thursday  - 09:00 am - 05:00 pm || Friday  - 09:00 am - 05:00 pm || Saturday  - 09:00 am - 12:00 pm || Sunday  - Closed,Playgroups- Kindergartens- Day- Care- Centres- Summer- Camps- Handwriting- Classes- Primary- Schools- Montessori- Schools- Creche- Nursery- Schools- Phonics- Classes- more...,Cash- Cheques,2015
 Tree House,Thiruvanmiyur,"Old No 17 New No 14, Malaviya Avenue, Thiruvanmiyur, Chennai - 600041, Near Adyar Bus Depo Thiruvanmiyur",['+(91)-44-39617877'],www.treehouseplaygroup.net, Monday  - 09:00 am - 06:30 pm || Tuesday  - 09:00 am - 06:30 pm || Wednesday  - 09:00 am - 06:30 pm || Thursday  - 09:00 am - 06:30 pm || Friday  - 09:00 am - 06:30 pm || Saturday  - 09:00 am - 06:30 pm || Sunday  - Closed,Playgroups- Kindergartens- Nursery- Teacher- Training- Institutes- Activity- Clubs,,
 Euro Kids,Ashok Nagar,"New No 22/2 Old No 27/2, 12th Avenue, Ashok Nagar, Chennai - 600083, Opposite To Panasonic Service Centre",['+(91)-44-33075566'],www.eurokidsindia.com, Monday  - 09:00 am - 02:30 pm || Tuesday  - 09:00 am - 02:30 pm || Wednesday  - 09:00 am - 02:30 pm || Thursday  - 09:00 am - 02:30 pm || Friday  - 09:00 am - 02:30 pm || Saturday  - 09:00 am - 02:30 pm || Sunday  - Closed,Playgroups- Kindergartens,Cash,2010
 BG FUTURE SCHOOL,Avadi,"No 14, Krishnamenon Street Gandhi Nagar, Avadi, Chennai - 600054, Opposite To Meenakshi Theatre",['+(91)-44-39341684'],www.bgfutureschool.com, Monday  - 09:00 am - 04:00 pm || Tuesday  - 09:00 am - 04:00 pm || Wednesday  - 09:00 am - 04:00 pm || Thursday  - 09:00 am - 04:00 pm || Friday  - 09:00 am - 04:00 pm || Saturday  - 09:00 am - 04:00 pm || Sunday  - Closed,Nursery- Schools- Language- Classes- For- English- Conversation- Kindergartens- Dance- Classes- Summer- Camps- Language- Classes- For- Hindi- Music- Classes- Playgroups- Abacus- Classes- Music- Classes- For- Vocal- more...,Cash- Cheques,2010
 Kids Gurukkulam,Aminjikarai,"No 1/16 Vinayagar Kovil Street, Ayavoo Colony, Aminjikarai, Chennai - 600029, Behind M R Hospital",['+(91)-44-33023041'],www.kids-gurukkulam.com, Monday  - 09:30 am - 12:30 pm || Tuesday  - 09:30 am - 12:30 pm || Wednesday  - 09:30 am - 12:30 pm || Thursday  - 09:30 am - 12:30 pm || Friday  - 09:30 am - 12:30 pm || Saturday  - Closed || Sunday  - Closed,Playgroups- Kindergartens- Training- Pre- School- Skills,Cash- Cheques,2008
 Hello Kids Harmony,Alwarthirunagar,"No 3, 1st Cross Street Lambert Nagar, Alwarthirunagar, Chennai - 600087, Near Axis Bank Virugambakkam branch",['+(91)-44-33071767'],www.hellokids.co.in, Monday  - 08:30 am - 08:00 pm || Tuesday  - 08:30 am - 08:00 pm || Wednesday  - 08:30 am - 08:00 pm || Thursday  - 08:30 am - 08:00 pm || Friday  - 08:30 am - 08:00 pm || Saturday  - 08:30 am - 05:00 pm || Sunday  - 05:30 am - 05:30 am,Playgroups- Kindergartens- Day- Care- Centres- Summer- Camps- Montessori- Schools- Creche,Cash- Master- Card- Visa- Card- Debit- Cards- Cheques- American- Express- Card- Credit- Card,2015
 Bujji Montessori Play School,Kolathur,"#22, 1st floor , platinum tower, 1st main road, Srinivasan nagar, Kolathur, Chennai - 600099, Above ICICI BANK",['+(91)-44-30649706'],, Monday  - 09:00 am - 08:00 pm || Tuesday  - 09:00 am - 08:00 pm || Wednesday  - 09:00 am - 08:00 pm || Thursday  - 09:00 am - 08:00 pm || Friday  - 09:00 am - 08:00 pm || Saturday  - 10:00 am - 08:00 pm || Sunday  - 10:00 am - 08:00 pm,Kindergartens- Playgroups- Day- Care- Centres,Cash- Credit- Card- American- Express- Diner- Club- Card- Master- Card- Visa- Card- Cheques- Debit- Cards- Financing- Available- RTGS- Traveler- Cheque,2011
 Sugar N Spice  Nusery  School,Nandanam,"New No 23 Old No 12, Play Ground View Road, Nandanam, Chennai - 600035, Near Nandanam Play Ground",['+(91)-44-33042675'],, Monday  - 09:00 am - 03:00 pm || Tuesday  - 09:00 am - 03:00 pm || Wednesday  - 09:00 am - 03:00 pm || Thursday  - 09:00 am - 03:00 pm || Friday  - 09:00 am - 03:00 pm || Saturday  - 09:00 am - 03:00 pm || Sunday  - Closed,Playgroups- Kindergartens- Day- Care- Centres,Cash- Master- Card- Visa- Card- Debit- Cards- Cheques- Credit- Card,1983
 Abc Hut Play School And Day Care,Adambakkam,"No 3, First Street Bhuvaneshwari Nagar, Adambakkam, Chennai - 600088, Near Prime Care Hospital",['+(91)-44-33071844'],www.abchut.com, Monday  - 12:00 am - 11:59 pm || Tuesday  - 12:00 am - 11:59 pm || Wednesday  - 12:00 am - 11:59 pm || Thursday  - 12:00 am - 11:59 pm || Friday  - 12:00 am - 11:59 pm || Saturday  - 12:00 am - 11:59 pm || Sunday  - 12:00 am - 11:59 pm,Playgroups- Kindergartens- Day- Care- Centres- Creche- Nursery- Schools- Training- Pre- School- Skills- more...,Cash- Debit- Cards- Cheques- Credit- Card,2014
 BG FUTURE SCHOOL,Avadi,"No 14, Krishnamenon Street Gandhi Nagar, Avadi, Chennai - 600054, Opposite To Meenakshi Theatre",['+(91)-44-39341684'],www.bgfutureschool.com, Monday  - 09:00 am - 04:00 pm || Tuesday  - 09:00 am - 04:00 pm || Wednesday  - 09:00 am - 04:00 pm || Thursday  - 09:00 am - 04:00 pm || Friday  - 09:00 am - 04:00 pm || Saturday  - 09:00 am - 04:00 pm || Sunday  - Closed,Nursery- Schools- Language- Classes- For- English- Conversation- Kindergartens- Dance- Classes- Summer- Camps- Language- Classes- For- Hindi- Music- Classes- Playgroups- Abacus- Classes- Music- Classes- For- Vocal- more...,Cash- Cheques,2010
 Sugar N Spice  Nusery  School,Nandanam,"New No 23 Old No 12, Play Ground View Road, Nandanam, Chennai - 600035, Near Nandanam Play Ground",['+(91)-44-33042675'],, Monday  - 09:00 am - 03:00 pm || Tuesday  - 09:00 am - 03:00 pm || Wednesday  - 09:00 am - 03:00 pm || Thursday  - 09:00 am - 03:00 pm || Friday  - 09:00 am - 03:00 pm || Saturday  - 09:00 am - 03:00 pm || Sunday  - Closed,Playgroups- Kindergartens- Day- Care- Centres,Cash- Master- Card- Visa- Card- Debit- Cards- Cheques- Credit- Card,1983
 Coral Infi Kids,Saligramam,"No 20/19, Sri Ramar Street Devaraj Nagar, Saligramam, Chennai - 600093, Near Ragavendra Temple",['+(91)-44-33046947'],www.coralinfikids.com, Monday  - 09:00 am - 08:00 pm || Tuesday  - 09:00 am - 08:00 pm || Wednesday  - 09:00 am - 08:00 pm || Thursday  - 09:00 am - 08:00 pm || Friday  - 09:00 am - 08:00 pm || Saturday  - 09:00 am - 08:00 pm || Sunday  - Closed,Playgroups- Kindergartens- Day- Care- Centres- Montessori- Schools- Creche- Creche- Hourly,Cash- Cheques,2010
 Kiddie Kamp,Nungambakkam,"No 10/37, 1st Street Kamdar Nagar, Nungambakkam, Chennai - 600034, Near Girias",['+(91)-44-33029034'],www.thekiddiekamp.com, Monday  - 08:00 am - 08:00 pm || Tuesday  - 08:00 am - 08:00 pm || Wednesday  - 08:00 am - 08:00 pm || Thursday  - 08:00 am - 08:00 pm || Friday  - 08:00 am - 08:00 pm || Saturday  - 08:00 am - 05:00 pm || Sunday  - Closed,Playgroups- Kindergartens- Day- Care- Centres- Creche- more...,,2010
 Kidzee,Padur,"Plot No 6 Annai Therasa Street, Kazhipattur Omr Road, Padur, Chennai - 603103, Next To Anand Institute Of Technology near akchanya Adena Apartement",['+(91)-44-39976237'],www.kidzee.com, Monday  - 09:00 am - 06:00 pm || Tuesday  - 09:00 am - 06:00 pm || Wednesday  - 09:00 am - 06:00 pm || Thursday  - 09:00 am - 06:00 pm || Friday  - 09:00 am - 06:00 pm || Saturday  - 09:00 am - 02:00 pm || Sunday  - Closed,Kindergartens- Schools- Language- Classes- For- Hindi- Playgroups- Day- Care- Centres- Handwriting- Classes- Primary- Schools- Nursery- Schools- Dance- Schools- Pre- Schools- more...,Cash- Cheques,2014
 Arise N Shine,Anna Nagar West,"No 632 W Block, D Sector 7th Street, Anna Nagar West, Chennai - 600101, Near Sboa CBSE School West Gate",['+(91)-44-39341653'],www.myarisenshine.com, Monday  - 08:30 am - 06:30 pm || Tuesday  - 08:30 am - 06:30 pm || Wednesday  - 08:30 am - 06:30 pm || Thursday  - 08:30 am - 06:30 pm || Friday  - 08:30 am - 06:30 pm || Saturday  - 09:30 am - 02:00 pm || Sunday  - Closed,Playgroups- Language- Classes- For- English- Conversation- Kindergartens- Language- Classes- For- English- Summer- Camps- Drawing- Classes- Day- Care- Centres- Handwriting- Classes- Primary- Schools- Arts- &- Crafts- Classes- more...,Master- Card- Visa- Card- Debit- Cards- Cheques- Credit- Card,2014
 Euro Kids,Sowcarpet,"No 487, Mint Street, Sowcarpet, Chennai - 600001, Opposite To Punjab National Bank",['+(91)-44-33075567'],www.eurokidsindia.com, Monday  - 10:00 am - 04:00 pm || Tuesday  - 10:00 am - 04:00 pm || Wednesday  - 10:00 am - 04:00 pm || Thursday  - 10:00 am - 04:00 pm || Friday  - 10:00 am - 04:00 pm || Saturday  - 10:00 am - 04:00 pm || Sunday  - Closed,Kindergartens- Playgroups- Nursery- Schools,Cash- Master- Card- Visa- Card- Debit- Cards- Money- Orders- Cheques- Diners- Club- Card- Financing- Available- American- Express- Card- Credit- Card,2008
 Rainbow Pre School & Creche,Perambur,"New No 14 Old No 12, Vadivelu 3rd Cross Street, Perambur, Chennai - 600011, Near Vellayan Market",['+(91)-44-33048243'],, Monday  - 08:00 am - 08:30 pm || Tuesday  - 08:00 am - 08:30 pm || Wednesday  - 08:00 am - 08:30 pm || Thursday  - 08:00 am - 08:30 pm || Friday  - 08:00 am - 08:30 pm || Saturday  - 08:00 am - 08:30 pm || Sunday  - 10:00 am - 12:00 pm,Creche- Kindergartens- Playgroups- Day- Care- Centres,Cash,2006
 Aveksha Play School,Tambaram West,"No 12, Amal Nagar Kishkintha Road, Tambaram West, Chennai - 600045, Near RTO Office",['+(91)-44-33890457'],, Monday  - 09:30 am - 12:30 pm || Tuesday  - 09:30 am - 12:30 pm || Wednesday  - 09:30 am - 12:30 pm || Thursday  - 09:30 am - 12:30 pm || Friday  - 09:30 am - 12:30 pm || Saturday  - 09:30 am - 12:30 pm || Sunday  - 09:30 am - 12:30 pm,Playgroups- Language- Classes- For- English- Conversation- Kindergartens- Creche- Fine- Art- Institutes- Training- Pre- School- Skills,Cash- Cheques,2013
 I Play I Learn Pre School,Sholinganallur,"Plot No 87 & 88, 3rd Street Kumara Samy Nagar Classic Garden, Sholinganallur, Chennai - 600119, Near Avin Milk Factory & Nilgiris Store",['+(91)-44-33028396'],www.iplayilearn.com, Monday  - 09:00 am - 07:00 pm || Tuesday  - 09:00 am - 07:00 pm || Wednesday  - 09:00 am - 07:00 pm || Thursday  - 09:00 am - 07:00 pm || Friday  - 09:00 am - 07:00 pm || Saturday  - Closed || Sunday  - Closed,Nursery- Schools- Kindergartens- Language- Classes- For- Hindi- Playgroups- Day- Care- Centres- Handwriting- Classes- Creche- Language- Classes- Dance- Schools- Fine- Art- Institutes- more...,Cash- Cheques,2010
 Little Hearts Play School,Puzhuthivakkam,"No 30, Anna Nagar Main Road, Puzhuthivakkam, Chennai - 600091, Near Vyasa Vidyalaya School",['+(91)-44-33045505'],www.littleheartsplayschool.com, Monday  - 08:00 am - 08:00 pm || Tuesday  - 08:00 am - 08:00 pm || Wednesday  - 08:00 am - 08:00 pm || Thursday  - 08:00 am - 08:00 pm || Friday  - 08:00 am - 08:00 pm || Saturday  - 08:00 am - 08:00 pm || Sunday  - Closed,Playgroups- Kindergartens- Abacus- Classes- Day- Care- Centres- Creche- Abacus- Institutes- Creche- Hourly- Training- Pre- School- Skills- more...,Cash- Master- Card- Visa- Card- Debit- Cards- Cheques- Credit- Card,2009
 Smart Smile,Kodambakkam,"No 33 Eastern Portion 1st Floor, Akbarabad 1st Street, Kodambakkam, Chennai - 600024, Near Baba School",['+(91)-44-39618532'],www.livetheart.com, Monday  - 09:00 am - 08:30 pm || Tuesday  - 09:00 am - 08:30 pm || Wednesday  - 09:00 am - 08:30 pm || Thursday  - 09:00 am - 08:30 pm || Friday  - 09:00 am - 08:30 pm || Saturday  - 09:00 am - 08:30 pm || Sunday  - 10:00 am - 02:00 pm,Language- Classes- For- English- Conversation- Kindergartens- Tailoring- Classes- Tutorials- Language- Classes- For- English- Typing- Classes- Language- Classes- For- Hindi- Summer- Camps- Playgroups- Abacus- Classes- more...,Cash,2008
 EuroKids,Okkiyam Thuraipakkam,"No 150, Chandrasekar Avenue, Okkiyam Thuraipakkam, Chennai - 600097, Near Axis Bank",['+(91)-44-33029974'],www.eurokidsindia.com, Monday  - 09:00 am - 06:00 pm || Tuesday  - 09:00 am - 06:00 pm || Wednesday  - 09:00 am - 06:00 pm || Thursday  - 09:00 am - 06:00 pm || Friday  - 09:00 am - 06:00 pm || Saturday  - 10:00 am - 01:30 pm || Sunday  - Closed,Kindergartens- Playgroups- Day- Care- Centres- Creche- Nursery- Schools- Pre- Schools- Creche- Hourly,,2012
 Kudos Play School,Santhosapuram,"No 2/97, Anna Street, Santhosapuram, Chennai - 600073, Behind Santhoshpuram Bus Stop",['+(91)-44-39974196'],www.kudosplayschool.com, Monday  - 07:30 am - 07:00 pm || Tuesday  - 07:30 am - 07:00 pm || Wednesday  - 07:30 am - 07:00 pm || Thursday  - 07:30 am - 07:00 pm || Friday  - 07:30 am - 07:00 pm || Saturday  - 07:30 am - 07:00 pm || Sunday  - Closed,Playgroups- Kindergartens- Day- Care- Centres- Montessori- Teacher- Training- Institutes- Creche- Nursery- Schools,,2010
 Bamboo Shoots,Mugalivakkam,"No 23, Sarojini Street Rajeshwari Nagar 1st Main Street, Mugalivakkam, Chennai - 600125, Near XS Real Community Center",['+(91)-44-33059175'],www.braincarve.co.in, Monday  - 08:30 am - 07:30 pm || Tuesday  - 08:30 am - 07:30 pm || Wednesday  - 08:30 am - 07:30 pm || Thursday  - 08:30 am - 07:30 pm || Friday  - 08:30 am - 07:30 pm || Saturday  - 08:30 am - 07:30 pm || Sunday  - Closed,Kindergartens- Tutorials- Language- Classes- For- English- Playgroups- Day- Care- Centres- Hindi- Tutorials- Pre- Schools- Summer- Camp- Spoken- English,Cash- Master- Card- Visa- Card- Debit- Cards- Cheques,2015
 First School,Velacheri,"No 8 Sastha Illam, Baby Nagar First Main Road Tharamani Link Road, Velacheri, Chennai - 600042, Before Anugragha A C Hall",['+(91)-44-33069589'],, Monday  - 08:30 am - 07:00 pm || Tuesday  - 08:30 am - 07:00 pm || Wednesday  - 08:30 am - 07:00 pm || Thursday  - 08:30 am - 07:00 pm || Friday  - 08:30 am - 07:00 pm || Saturday  - 08:30 am - 07:00 pm || Sunday  - Closed,Playgroups- Kindergartens- Day- Care- Centres- Creche- Nursery- Schools- more...,Cash- Cheques,2013
 Childrens World Nursery School,Anna Nagar East,"Old No M 8/A New No M 81, 3rd Avenue, Anna Nagar East, Chennai - 600102, Opposite K4 Police Station",['+(91)-44-39614363'],www.childrensworldweb.com, Monday  - 09:00 am - 06:30 pm || Tuesday  - 09:00 am - 06:30 pm || Wednesday  - 09:00 am - 06:30 pm || Thursday  - 09:00 am - 06:30 pm || Friday  - 09:00 am - 06:30 pm || Saturday  - 09:00 am - 01:00 pm || Sunday  - Closed,Language- Classes- For- English- Conversation- Kindergartens- Language- Classes- For- English- Playgroups- Day- Care- Centres- Summer- Camps- Language- Classes- For- French- Montessori- Teacher- Training- Institutes- Arts- &- Crafts- Classes- Nursery- Schools,Cash- Cheques,2000
 Hello Kids CK,Mogappair,"No 338, Mohan Ram Nagar 4th Cross Street, Mogappair, Chennai - 600037, Opposite Balaji Bhavan And Near Saibaba Temple",['+(91)-44-33070674'],www.hellokids.co.in, Monday  - 09:00 am - 02:00 pm || Tuesday  - 09:00 am - 02:00 pm || Wednesday  - 09:00 am - 02:00 pm || Thursday  - 09:00 am - 02:00 pm || Friday  - 09:00 am - 02:00 pm || Saturday  - 09:00 am - 02:00 pm || Sunday  - Closed,Playgroups- Kindergartens- Day- Care- Centres- Creche- more...,Cash- Cheques,2014
 Bllue Birdss,Tambaram Sanatorium,"No:13/26, Railway Border Road, Vedhantham Colony, Tambaram Sanatorium, Chennai - 600047, Nr to Railway Station",['+(91)-44-33892062'],, Monday  - 09:00 am - 07:00 pm || Tuesday  - 09:00 am - 07:00 pm || Wednesday  - 09:00 am - 07:00 pm || Thursday  - 09:00 am - 07:00 pm || Friday  - 09:00 am - 07:00 pm || Saturday  - 09:00 am - 07:00 pm || Sunday  - 05:30 am - 05:30 am,Kindergartens- Playgroups- Creche,Cash,2015
 Mas Play School,Thoraipakkam,"No 361, Madha Oil Street Okkiyam, Thoraipakkam, Chennai - 600097",['+(91)-44-39610845'],www.masplayschool.com, Monday  - 08:00 am - 08:00 pm || Tuesday  - 08:00 am - 08:00 pm || Wednesday  - 08:00 am - 08:00 pm || Thursday  - 08:00 am - 08:00 pm || Friday  - 08:00 am - 08:00 pm || Saturday  - Closed || Sunday  - Closed,Kindergartens- Playgroups- Nursery- Schools,Cash- Cheques,2014
 Podar Jumbo Kids Plus,Mandaveli,"No 191 G-1 Silver Nest Apartment, RK Mutt Road, Mandaveli, Chennai - 600028",['+(91)-44-33892005'],, Monday  - 08:30 am - 02:30 am || Tuesday  - 08:30 am - 02:30 am || Wednesday  - 08:30 am - 02:30 am || Thursday  - 08:30 am - 02:30 am || Friday  - 08:30 am - 02:30 am || Saturday  - 08:30 am - 02:30 am || Sunday  - Closed,Playgroups- Kindergartens- Day- Care- Centres- Baby- Sitters- Montessori- Schools- Creche- Nursery- Schools- Pre- Schools- Activity- Clubs- Montessori- Institutes- more...,Cash- Cheques,2013
 My Pumpkin Patch,Adyar,"No 51, Padmanaba Nagar 4th Street, Adyar, Chennai - 600020, Next Sishya School",['+(91)-44-33763560'],www.mypumpkinpatch.in, Monday  - 08:30 am - 08:30 pm || Tuesday  - 08:30 am - 08:30 pm || Wednesday  - 08:30 am - 08:30 pm || Thursday  - 08:30 am - 08:30 pm || Friday  - 08:00 am - 08:30 pm || Saturday  - 08:30 am - 08:30 pm || Sunday  - 10:00 am - 07:00 pm,Day- Care- Centres- Kindergartens- Playgroups- Creche,Cash- Master- Card- Visa- Card- Debit- Cards,2014
 Childrens World Nursery School,Anna Nagar East,"Old No M 8/A New No M 81, 3rd Avenue, Anna Nagar East, Chennai - 600102, Opposite K4 Police Station",['+(91)-44-39614363'],www.childrensworldweb.com, Monday  - 09:00 am - 06:30 pm || Tuesday  - 09:00 am - 06:30 pm || Wednesday  - 09:00 am - 06:30 pm || Thursday  - 09:00 am - 06:30 pm || Friday  - 09:00 am - 06:30 pm || Saturday  - 09:00 am - 01:00 pm || Sunday  - Closed,Language- Classes- For- English- Conversation- Kindergartens- Language- Classes- For- English- Playgroups- Day- Care- Centres- Summer- Camps- Language- Classes- For- French- Montessori- Teacher- Training- Institutes- Arts- &- Crafts- Classes- Nursery- Schools,Cash- Cheques,2000
 Champs Academy,Palavakkam,"No 4/349 Sea Shell Avenue, Anna Salai, Palavakkam, Chennai - 600041, Near Green Meadows Hotel",['+(91)-44-33065099'],www.champsacademy.in, Monday  - 09:30 am - 06:30 pm || Tuesday  - 09:30 am - 06:30 pm || Wednesday  - 09:30 am - 06:30 pm || Thursday  - 09:30 am - 06:30 pm || Friday  - 09:30 am - 06:30 pm || Saturday  - 09:30 am - 06:30 pm || Sunday  - 09:30 am - 06:30 pm,Kindergartens- Playgroups- Creche- Nursery- Schools- Class- IX- Tutorials,,2013
